-5,-30
-5.8349,-31.297
-6.6698,-32.589
-7.514,-33.876
-8.3581,-35.159
-9.2116,-36.438
-10.065,-37.711
-10.909,-38.976
-11.753,-40.244
-12.598,-41.526
-13.442,-42.814
-14.304,-44.101
-15.167,-45.385
-16.002,-46.663
-16.837,-47.936
-17.653,-49.204
-18.47,-50.47
-19.295,-51.735
-20.121,-53.003
-20.965,-54.275
-21.809,-55.555
-22.653,-56.842
-23.498,-58.125
-24.351,-59.395
-25.204,-60.658
-26.058,-61.923
-26.911,-63.191
-27.756,-64.461
-28.6,-65.725
-29.444,-66.981
-30.288,-68.239
-31.132,-69.512
-31.976,-70.791
-32.821,-72.068
-33.665,-73.343
-34.5,-74.619
-35.335,-75.895
-36.179,-77.171
-37.023,-78.447
-37.867,-79.722
-38.711,-80.998
-39.555,-82.274
-40.4,-83.55
-41.234,-84.826
-42.069,-86.102
-42.914,-87.377
-43.758,-88.654
-44.593,-89.936
-45.428,-91.224
-46.272,-92.517
-47.116,-93.813
-47.951,-95.108
-48.786,-96.401
-49.63,-97.694
-50.474,-98.99
-51.318,-100.29
-52.162,-101.6
-52.997,-102.9
-53.832,-104.2
-54.676,-105.5
-55.52,-106.79
-56.355,-108.1
-57.19,-109.4
-58.016,-110.69
-58.842,-111.99
-59.686,-113.29
-60.53,-114.6
-61.355,-115.89
-62.181,-117.19
-63.025,-118.49
-63.869,-119.79
-64.704,-121.09
-65.539,-122.38
-66.383,-123.69
-67.228,-124.99
-68.062,-126.28
-68.897,-127.56
-69.742,-128.85
-70.586,-130.15
-71.421,-131.44
-72.256,-132.74
-73.1,-134.03
-73.944,-135.32
-74.788,-136.61
-75.632,-137.9
-76.467,-139.19
-77.302,-140.48
-78.146,-141.78
-78.99,-143.07
-79.825,-144.36
-80.66,-145.64
-81.504,-146.94
-82.348,-148.23
-83.193,-149.52
-84.037,-150.8
-84.872,-152.09
-85.707,-153.37
-86.551,-154.66
-87.395,-155.94
-88.239,-157.23
-89.083,-158.51
-89.918,-159.8
-90.753,-161.08
-91.597,-162.38
-92.441,-163.67
-93.276,-164.97
-94.111,-166.26
-94.955,-167.54
-95.8,-168.83
-96.634,-170.13
-97.469,-171.42
-98.314,-172.7
-99.158,-173.99
-100,-175.28
-100.85,-176.58
-101.69,-177.87
-102.53,-179.15
-103.37,-180.43
-104.2,-181.72
-105.05,-183
-105.89,-184.29
-106.74,-185.59
-107.58,-186.88
-108.43,-188.15
-109.27,-189.43
-110.11,-190.72
-110.96,-192.02
-111.8,-193.31
-112.65,-194.59
-113.49,-195.87
-114.33,-197.16
-115.19,-198.44
-116.04,-199.73
-116.89,-201.01
-117.73,-202.3
-118.57,-203.59
-119.42,-204.87
